"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Ratio of Males to Females","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","rmtof","TimeFrame","GeoVintage","Source","Location"
"County","Stonewall","TX","48433","=""48433""","100","2020-2024","2022","Census","Texas (State)"
"County","Sutton","TX","48435","=""48435""","86","2020-2024","2022","Census","Texas (State)"
"County","Swisher","TX","48437","=""48437""","131","2020-2024","2022","Census","Texas (State)"
"County","Tarrant","TX","48439","=""48439""","97","2020-2024","2022","Census","Texas (State)"
"County","Taylor","TX","48441","=""48441""","97","2020-2024","2022","Census","Texas (State)"
"County","Terrell","TX","48443","=""48443""","112","2020-2024","2022","Census","Texas (State)"
"County","Terry","TX","48445","=""48445""","121","2020-2024","2022","Census","Texas (State)"
"County","Throckmorton","TX","48447","=""48447""","80","2020-2024","2022","Census","Texas (State)"
"County","Titus","TX","48449","=""48449""","99","2020-2024","2022","Census","Texas (State)"
"County","Tom Green","TX","48451","=""48451""","100","2020-2024","2022","Census","Texas (State)"
"County","Travis","TX","48453","=""48453""","104","2020-2024","2022","Census","Texas (State)"
"County","Trinity","TX","48455","=""48455""","96","2020-2024","2022","Census","Texas (State)"
"County","Tyler","TX","48457","=""48457""","121","2020-2024","2022","Census","Texas (State)"
"County","Upshur","TX","48459","=""48459""","99","2020-2024","2022","Census","Texas (State)"
"County","Upton","TX","48461","=""48461""","95","2020-2024","2022","Census","Texas (State)"
"County","Uvalde","TX","48463","=""48463""","99","2020-2024","2022","Census","Texas (State)"
"County","Val Verde","TX","48465","=""48465""","107","2020-2024","2022","Census","Texas (State)"
"County","Van Zandt","TX","48467","=""48467""","96","2020-2024","2022","Census","Texas (State)"
"County","Victoria","TX","48469","=""48469""","97","2020-2024","2022","Census","Texas (State)"
"County","Walker","TX","48471","=""48471""","144","2020-2024","2022","Census","Texas (State)"
"County","Waller","TX","48473","=""48473""","99","2020-2024","2022","Census","Texas (State)"
"County","Ward","TX","48475","=""48475""","106","2020-2024","2022","Census","Texas (State)"
"County","Washington","TX","48477","=""48477""","98","2020-2024","2022","Census","Texas (State)"
"County","Webb","TX","48479","=""48479""","99","2020-2024","2022","Census","Texas (State)"
"County","Wharton","TX","48481","=""48481""","100","2020-2024","2022","Census","Texas (State)"
"County","Wheeler","TX","48483","=""48483""","106","2020-2024","2022","Census","Texas (State)"
"County","Wichita","TX","48485","=""48485""","107","2020-2024","2022","Census","Texas (State)"
"County","Wilbarger","TX","48487","=""48487""","96","2020-2024","2022","Census","Texas (State)"
"County","Willacy","TX","48489","=""48489""","119","2020-2024","2022","Census","Texas (State)"
"County","Williamson","TX","48491","=""48491""","99","2020-2024","2022","Census","Texas (State)"
"County","Wilson","TX","48493","=""48493""","101","2020-2024","2022","Census","Texas (State)"
"County","Winkler","TX","48495","=""48495""","112","2020-2024","2022","Census","Texas (State)"
"County","Wise","TX","48497","=""48497""","102","2020-2024","2022","Census","Texas (State)"
"County","Wood","TX","48499","=""48499""","100","2020-2024","2022","Census","Texas (State)"
"County","Yoakum","TX","48501","=""48501""","113","2020-2024","2022","Census","Texas (State)"
"County","Young","TX","48503","=""48503""","109","2020-2024","2022","Census","Texas (State)"
"County","Zapata","TX","48505","=""48505""","98","2020-2024","2022","Census","Texas (State)"
"County","Zavala","TX","48507","=""48507""","111","2020-2024","2022","Census","Texas (State)"
